case_id,scenario,condition,arm,run_status,model_calls,tool_calls,input_tokens,output_tokens,accounted_and_reserved_cny,latency_seconds,delegations,task_completed,business_success,required_evidence_covered,constraint_violation,failure_reasons,evidence_gaps
SCREP-shipping_infeasible,shipping_infeasible,bootstrap,on_demand,completed,3,4,12136,578,0.024968,11.766,0,False,False,True,False,decision_status_mismatch,
SCREP-shipping_infeasible,shipping_infeasible,bootstrap,single,completed,3,4,11257,513,0.022937,11.093,0,False,False,True,False,decision_status_mismatch,
SCREP-shipping_infeasible,shipping_infeasible,both,coordinator,completed,6,3,25928,1709,0.057893,32.141,2,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,both,on_demand,completed,4,3,15544,606,0.03069,13.641,0,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,both,single,completed,3,4,11262,510,0.022917,12.078,0,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,guard,coordinator,completed,7,3,31122,2589,0.074652,38.547,3,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,guard,on_demand,completed,4,4,15357,577,0.030112,16.079,0,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,guard,single,completed,3,4,10533,596,0.022575,14.313,0,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,neither,coordinator,completed,7,4,27034,1812,0.060652,33.187,2,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,neither,on_demand,completed,4,4,15323,573,0.030018,14.078,0,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,neither,single,completed,3,3,10209,469,0.020837,11.609,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,bootstrap,coordinator,completed,7,5,29981,1412,0.061527,31.375,2,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,bootstrap,on_demand,completed,4,3,15705,425,0.029209,14.297,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,bootstrap,single,completed,3,3,11046,407,0.021582,10.703,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,both,coordinator,completed,7,4,27859,1613,0.060062,34.36,2,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,both,on_demand,completed,3,3,11956,491,0.023845,11.078,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,both,single,completed,3,3,11045,441,0.021907,12.016,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,guard,coordinator,completed,7,3,26877,1645,0.058799,36.109,2,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,guard,on_demand,completed,4,4,15523,448,0.02914,10.187,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,guard,single,completed,3,3,10344,343,0.019845,14.437,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,neither,coordinator,completed,6,3,23776,1516,0.052599,35.141,2,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,neither,on_demand,completed,4,4,15494,503,0.029621,15.015,0,True,True,True,False,,
SCREP-shipping_normal,shipping_normal,neither,single,completed,3,3,10343,350,0.01991,9.968,0,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,bootstrap,coordinator,completed,5,4,23421,1141,0.04843,24.375,1,True,True,True,False,,
SCREP-shipping_revision,shipping_revision,bootstrap,on_demand,completed,4,4,19293,600,0.03663,14.453,0,True,True,True,False,,
